"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-2.86302478 25.48       -0.47899795  2.9701    ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4, 2.0),)",[0.     2.9701 0.     0.    ]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0.    2.962 0.    0.   ]
"((2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[0.   0.   0.   2.71]
"((0.0, 0.0, 1.0, 2.0, None, 1.0, 0.0, 4, 2.0, None, 1.0, 0.0, 1.0, 2.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None, None),)",[  0.       0.       0.     -13.0793]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4, None, 2.0, 2.0, 2.0, 2.0),)",[-0.19 17.2  -1.    1.99]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-1.      -0.09361  0.       0.     ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0),)",[-1.  -0.1 -1.   1. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 4, 1.0, 1.0),)",[-1.     0.    -0.91   3.439]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[0. 1. 0. 0.]
