"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-2.00071817 44.05368725 -0.61742378  1.        ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4, None, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 1.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 1.]
"((2.0, 2.0, 2.0, 2.0, None, 0.0, 1.0, 1.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 1.0, 4, 1.0, 2.0, None, 2.0, 2.0, 2.0, 2.0, None),)",[1. 0. 0. 0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 1.0, 1.0, 2.0, None, 0.0, 0.0, 0.0, 2.0, None, 1.0, 4, 1.0, 2.0, None),)",[ 0.  -0.1  0.   0. ]
"((2.0, 2.0, 2.0, 2.0, None, 0.0, 1.0, 0.0, 2.0, None, 0.0, 0.0, 0.0, 2.0, None, 1.0, 1.0, 4, 2.0, None, 2.0, 2.0, 2.0, 2.0, None),)",[ 0. -5.  0.  0.]
"((0.0, 1.0, 0.0, 2.0, None, 0.0, 0.0, 0.0, 2.0, None, 1.0, 1.0, 4, 2.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None, None),)",[0. 0. 0. 0.]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.19        0.         -1.9        38.75060339]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[30.38449015  0.         -0.181       0.        ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.         -0.56953279 12.13045336 -1.43043253]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.  -0.1  0.  -5. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 4, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None),)",[0. 0. 0. 0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0),)",[-1.         -5.         -0.19       34.64933358]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[ 0.          0.          0.         14.79566031]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 0.0, 4, 1.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None),)",[ 6.93169272 -8.6171     -9.70366984 -8.00762929]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 4, 0.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None),)",[-5.9        39.18615863 -5.          0.        ]
