"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-1.         39.91929987  0.          1.        ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[0. 0. 0. 1.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0),)",[ 0. -5.  0.  0.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1        33.28587922 -2.62       -5.        ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  1.9  0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0),)",[-1.9  0.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[-1.9 -0.1 -1.   1.9]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[-5.9 -0.1  0.   0. ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 4, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 4, None, 2.0, 1.0, 1.0, 1.0),)",[-1.  -0.1  0.   0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[ 0.  0. -5.  0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 4, 0.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[0. 0. 0. 0.]
"((None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[25.96995015 -2.719      -2.49474379 -5.        ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[29.89179976 -5.         -1.29997547 -3.5       ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0),)",[-1.         -0.19       -1.         32.94533542]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 4, 1.0, 1.0),)",[0.  0.  0.  1.9]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0),)",[-1.       38.009444 -0.1       0.      ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0),)",[-1. -5.  0.  0.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[  4.9959641 -10.31       -5.9        -5.       ]
"((None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 4, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[0. 0. 0. 0.]
"((2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[0. 0. 0. 0.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[-0.109 -1.009  0.     0.   ]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0),)",[-1.  -0.1 -0.1  0. ]
