"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-0.91        0.         -2.3122     43.97476819]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4, 2.0),)",[ 0.   0.  -0.1  0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[ 0.  0. -1.  0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 1.0, 4, None, 2.0, 1.0, 1.0, 1.0),)",[-1.9  0.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 4, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[ 0.      4.0951  0.     -0.01  ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 4, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 1.0, 4, None, 2.0, 1.0, 1.0, 1.0),)",[-1.  -0.1  0.  -0.1]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[0. 0. 0. 1.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 0.0, 4, 1.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None),)",[0. 1. 0. 0.]
"((2.0, 2.0, 2.0, 2.0, None, 0.0, 4, 0.0, 2.0, None, 0.0, 1.0, 1.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None, 2.0, 2.0, 2.0, 2.0, None),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 4, 0.0, 2.0, None, 0.0, 1.0, 0.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None),)",[-5.  0.  0.  0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.9        36.17824716  0.382679    0.        ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.  1.  0.  0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0),)",[ 0.   1.  -0.1  0. ]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[ 0.   -4.91  0.    0.  ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[-1. -5.  0.  0.]
